OD,OT,Stage,HRT,TMPmax,Flux,FoulingRate,Temp,COD_in,COD_eff,COD_removal,TAN_in,TAN_eff,TAN_removal
0,0.48,1,3,168.4,NA,0.08,15,NA,NA,NA,NA,NA,NA
0,0.71,1,3,167.2,2.15,-0.22,15.1,NA,NA,NA,NA,NA,NA
1,1.35,1,3,166.5,1.47,-0.05,15.1,1960,441.5,0.77,46.62,0.55,0.99
1,1.4,1,3,166.6,NA,0.1,15,NA,NA,NA,NA,NA,NA
1,1.75,1,3,169.5,2.14,0.34,15.1,NA,NA,NA,NA,NA,NA
4,4.35,1,3,175.1,2.19,NA,15.8,2075,446.5,0.78,55.06,0,1
4,4.42,1,3,176.5,NA,0.93,15.4,NA,NA,NA,NA,NA,NA
4,4.71,1,3,180.9,1.95,0.63,15.4,NA,NA,NA,NA,NA,NA
5,5.38,1,3,177.9,2.27,-0.19,16,NA,NA,NA,NA,NA,NA
5,5.65,1,3,181.5,1.82,0.55,16,NA,NA,NA,NA,NA,NA
6,6.38,1,3,179.9,2.03,-0.09,16.3,NA,NA,NA,NA,NA,NA
6,6.65,1,3,181,1.82,0.17,16.2,NA,NA,NA,NA,NA,NA
7,7.35,1,3,180.9,2.3,-0.01,16.4,NA,NA,NA,NA,NA,NA
7,7.4,1,3,180.9,NA,0,16.4,NA,NA,NA,NA,NA,NA
7,7.74,1,3,182.1,1.98,0.15,16.7,NA,NA,NA,NA,NA,NA
8,8.35,1,3,179.6,2.03,-0.17,17,1790,152,0.92,26.08,0.05,1
8,8.4,1,3,179.5,NA,-0.1,16.8,NA,NA,NA,NA,NA,NA
8,8.68,1,3,180.8,2.02,0.19,16.8,NA,NA,NA,NA,NA,NA
11,11.35,1,3,184.9,2.15,0.06,16.8,2320,129.5,0.94,27.94,0.08,1
11,11.46,1,3,191,2.55,2.44,16.8,NA,NA,NA,NA,NA,NA
11,11.5,1,3,190.9,NA,-0.1,16.7,NA,NA,NA,NA,NA,NA
11,11.75,1,3,191.4,1.82,0.08,16.7,NA,NA,NA,NA,NA,NA
12,12.38,1,3,190.4,2.3,-0.07,17.3,NA,NA,NA,NA,NA,NA
12,12.69,1,3,193.2,2.3,0.37,17.2,NA,NA,NA,NA,NA,NA
13,13.46,1,3,NA,2.31,-10.44,NA,NA,NA,NA,NA,NA,NA
13,13.68,1,3,190.8,2.25,36.34,16.9,NA,NA,NA,NA,NA,NA
14,14.38,1,3,192.7,2.28,0.11,16.8,NA,NA,NA,NA,NA,NA
14,14.42,1,3,192.7,NA,0,16.8,NA,NA,NA,NA,NA,NA
14,14.65,1,3,195.1,1.82,0.44,16.7,NA,NA,NA,NA,NA,NA
15,15.38,1,3,196.1,1.82,0.06,17.2,2105,128.5,0.94,39.42,0.11,1
15,15.46,1,3,193.1,NA,NA,17.2,NA,NA,NA,NA,NA,NA
15,15.73,1,3,191.3,2.41,-0.28,17.4,NA,NA,NA,NA,NA,NA
18,18.38,1,3,189.8,1.9,NA,17.2,2220,117,0.95,99.81,0.15,1
18,18.46,1,3,199.7,NA,4.95,17,NA,NA,NA,NA,NA,NA
18,18.5,1,3,199.7,NA,0,17,NA,NA,NA,NA,NA,NA
18,18.75,1,3,199.1,1.97,-0.1,17.1,NA,NA,NA,NA,NA,NA
19,19.38,1,3,197.7,2.3,-0.09,16.9,NA,NA,NA,NA,NA,NA
19,19.69,1,3,201.2,1.66,0.46,16.7,NA,NA,NA,NA,NA,NA
20,20.41,1,3,196.8,2.13,-0.26,16.7,NA,NA,NA,NA,NA,NA
20,20.71,1,3,200.6,2.13,0.52,16.4,NA,NA,NA,NA,NA,NA
21,21.33,1,3,189.8,2.28,NA,15.8,NA,NA,NA,NA,NA,NA
21,21.38,1,3,198.6,NA,8.8,15.8,NA,NA,NA,NA,NA,NA
21,21.75,1,3,202,2.02,0.38,15.8,NA,NA,NA,NA,NA,NA
23,23.38,1,3,202.6,2.24,0.02,16.3,2610,104.5,0.96,65.35,0.01,1
23,23.4,1,3,202.6,NA,0,16.3,NA,NA,NA,NA,NA,NA
26,26.42,1,3,201,1.9,NA,16.6,2605,124.5,0.95,72.28,0.26,1
26,26.46,1,3,198.6,NA,-2.4,16.6,NA,NA,NA,NA,NA,NA
26,26.69,1,3,211,1.98,2.25,16.6,NA,NA,NA,NA,NA,NA
27,27.35,1,3,200.4,1.99,-0.66,17.4,NA,NA,NA,NA,NA,NA
27,27.72,1,3,210.8,1.97,1.19,17.6,NA,NA,NA,NA,NA,NA
28,28.38,1,3,212.4,2.25,0.1,18.6,NA,NA,NA,NA,NA,NA
28,28.67,1,3,214.8,2.34,0.34,18,NA,NA,NA,NA,NA,NA
29,29.38,1,3,215.6,2.35,0.05,18,NA,NA,NA,NA,NA,NA
29,29.4,1,3,215.6,NA,NA,18,NA,NA,NA,NA,NA,NA
29,29.42,1,3,210.4,NA,-10.4,18,NA,NA,NA,NA,NA,NA
29,29.69,1,3,210.5,1.96,0.02,7.57,NA,NA,NA,NA,NA,NA
30,30.13,1,3,NA,1.73,NA,NA,NA,NA,NA,NA,NA,NA
32,32.38,1,3,209.9,NA,NA,15.9,2185,106.5,0.95,61.16,0,1
32,32.44,1,3,200.4,NA,-6.33,15.7,NA,NA,NA,NA,NA,NA
32,32.71,1,3,211.5,2.1,1.71,15.9,NA,NA,NA,NA,NA,NA
33,33.38,1,3,212.2,2.16,0.04,16.9,NA,NA,NA,NA,NA,NA
33,33.67,1,3,214.4,2.08,0.31,17,NA,NA,NA,NA,NA,NA
34,34.39,1,3,211.9,2.11,-0.14,17.2,NA,NA,NA,NA,NA,NA
34,34.69,1,3,212.8,2.01,0.12,17.3,NA,NA,NA,NA,NA,NA
35,35.33,1,3,212.7,1.88,-0.01,16.8,NA,NA,NA,NA,NA,NA
35,35.35,1,3,212.9,NA,NA,16.8,NA,NA,NA,NA,NA,NA
35,35.46,1,3,219,NA,2.44,16.8,NA,NA,NA,NA,NA,NA
35,35.75,1,3,219.7,2.34,0.1,17,NA,NA,NA,NA,NA,NA
36,36.67,1,3,217.6,2.07,-0.1,17.7,1990,99.5,0.95,76.3,0.02,1
36,36.73,1,3,214.5,NA,-2.07,17.8,NA,NA,NA,NA,NA,NA
39,39.38,1,3,211.5,2.26,-0.05,18.7,2170,89,0.96,55.2,0,1
39,39.48,1,3,224.3,NA,NA,18.5,NA,NA,NA,NA,NA,NA
39,39.71,1,3,224.6,2.84,0.05,18.6,NA,NA,NA,NA,NA,NA
40,40.39,1,3,219.9,2.18,-0.29,19.1,NA,NA,NA,NA,NA,NA
